scenario_id,dropped_A,dropped_B,dropped_C,dropped_CprimG,dropped_CprimU
en-09-cheese-cave-maturing,0,104,104,104,102
en-10-smokehouse-hams,0,92,90,91,91
en-11-cider-press-ferment,0,97,97,98,100
en-12-farmers-market-stall,0,110,108,110,111
en-13-garden-sauna-kit,0,105,103,104,107
en-14-wildlife-pond,0,91,91,90,95
en-15-root-cellar-shed,0,55,57,59,58
en-16-wood-fired-hot-tub,0,74,75,76,80
en-17-horse-trailer-refit,0,138,139,138,140
en-18-cargo-bike-conversion,0,135,135,135,136
en-19-vintage-tractor-service,0,121,121,122,124
en-20-kayak-trip-portages,0,146,144,145,147
en-21-leather-satchel-repair,0,93,94,93,98
en-22-floor-loom-setup,0,67,66,67,68
en-23-gold-leaf-shop-sign,0,144,144,143,143
en-24-longcase-clock-service,0,139,140,139,144
en-25-orchard-grafting,0,88,86,87,86
en-26-hedge-laying,0,88,86,88,88
en-27-shearing-day,0,48,48,47,47
en-28-coppice-firewood,0,49,47,48,49
en-29-village-chess-league,0,104,105,103,106
en-30-allotment-rota,0,136,137,136,138
en-31-garden-railway-loop,0,112,113,113,115
en-32-brass-telescope-restoration,0,128,128,126,129
pl-09-wedzenie-ryb,0,129,122,125,125
pl-10-kiszenie-w-beczkach,0,75,75,75,72
pl-11-sery-podpuszczkowe,0,82,84,89,87
pl-12-nalewki-klarowanie,0,81,79,78,78
pl-13-studnia-poglebianie,0,62,59,64,75
pl-14-rekuperacja-stary-dom,0,84,84,95,100
pl-15-piec-chlebowy-ogrod,0,148,146,145,152
pl-16-odgromowka-stodola,0,110,108,115,122
pl-17-przyczepa-kempingowa,0,186,185,180,176
pl-18-lodz-wioslowa,0,106,106,106,111
pl-19-garaz-organizacja,0,85,88,84,85
pl-20-taczki-wozki,0,163,163,160,162
pl-21-staw-kapielowy,0,40,40,36,38
pl-22-kurnik-przydomowy,0,52,50,39,45
pl-23-pieczarki-w-piwnicy,0,96,95,86,84
pl-24-szczepienie-drzewek,0,94,93,89,88
pl-25-oprawa-ksiazek,0,112,112,118,123
pl-26-kucie-narzedzi,0,139,138,150,155
pl-27-szycie-owerlok,0,109,107,115,116
pl-28-kolo-garncarskie,0,171,172,175,187
pl-29-plan-polmaratonu,0,71,70,83,77
pl-30-smarowanie-nart-biegowych,0,67,67,70,76
pl-31-wywazanie-szybowcow,0,47,46,51,56
pl-32-akwarium-roslinne,0,67,65,69,73
